"demo","backend","reqResolved","exit","shot","errors","submitFail","uboOverflow","shaderFail","retries","software","adapter"
"3d_lod","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_material_showcase","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_metrics_debug","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_morph_target","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_navmesh","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_particles_showcase","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_physics_interaction","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_physics_raycast_pick","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_physics_stack","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_physics_triggers","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_postprocess_effects","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_postprocess_showcase","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_procedural_mesh","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_ragdoll","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_reflection_probe","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_render_quality_showcase","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_rope","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_scene_load","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_scene_showcase","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_shadow_showcase","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_skybox_environment","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_softbody","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_static_model","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_steering_behavior","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_streaming_load","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_terrain_heightmap","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_terrain_lod_zones","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_texture_material_slots","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_textured_cube","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_transparency","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_vehicle","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_water","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_cube","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_square","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
"3d_triangle","opengl","OpenGL",,"True","0","0","0","0","0","0","NVIDIA GeForce RTX 3070/PCIe/SSE2"
